Nome,Partido,UF,Período,Candidatura,Foto
Alan Rick,REPUBLICANOS,AC,2023 - 2031,Candidatura ao governo do Acre,alan_rick-ac.jpeg
Marcio Bittar,PL,AC,2019 - 2027,Candidtura ao Senado,marcio_bittar-ac.jpeg
Sérgio Petecão,PSD,AC,2019 - 2027,Candidatura ao governo do Acre,sergio_petecao-ac.jpeg
Dra. Eudócia,PSDB,AL,2019 - 2027,Sem definição,dra_eudocia-al.jpeg
Renan Filho,MDB,AL,2023 - 2031,Candidatura ao governo de Alagoas,renan_filho-al.jpeg
Renan Calheiros,MDB,AL,2019 - 2027,Candidatura ao Senado,renan_calheiros-al.jpeg
Eduardo Braga,MDB,AM,2019 - 2027,Candidatura ao Senado,eduardo_braga-am.jpeg
Omar Aziz,PSD,AM,2023 - 2031,Candidatura ao governo do Amazonas,omar_aziz-am.jpeg
Plínio Valério,PSDB,AM,2019 - 2027,Candidatura ao Senado,plinio_valerio-am.jpeg
Davi Alcolumbre,UNIÃO,AP,2023 - 2031,Continua no mandato,davi_alcolumbre-ap.jpeg
Lucas Barreto,PSD,AP,2019 - 2027,Candidatura ao Senado,lucas_barreto-ap.jpeg
Randolfe Rodrigues,PT,AP,2019 - 2027,Candidatura ao Senado,randolfe_rodrigues-ap.jpeg
Angelo Coronel,REPUBLICANOS,BA,2019 - 2027,Candidatura ao Senado,angelo_coronel-ba.jpeg
Jaques Wagner,PT,BA,2019 - 2027,Candidatura ao Senado,jaques_wagner-ba.jpeg
Otto Alencar,PSD,BA,2023 - 2031,Continua no mandato,otto_alencar-ba.jpeg
Camilo Santana,PT,CE,2023 - 2031,"Possibilidade de candidatura, mas sem cargo definido",camilo_santana-ce.jpeg
Cid Gomes,PSB,CE,2019 - 2027,"Possibilidade de candidatura, mas sem cargo definido ou se irá disputar as eleições",cig_gomes-ce.jpeg
Eduardo Girão,NOVO,CE,2019 - 2027,Candidatura ao governo do Ceará,eduardo_girao-ce.jpeg
Damares Alves,REPUBLICANOS,DF,2023 - 2031,Continua no mandato,damares_alves-df.jpeg
Izalci Lucas,PL,DF,2019 - 2027,Candidatura ao governo do Distrito Federal,izalci_lucas-df.jpeg
Leila Barros,PDT,DF,2019 - 2027,Candidatura ao Senado,leila_barros-df.jpeg
Fabiano Contarato,PT,ES,2019 - 2027,Candidatura ao Senado,fabiano_contarato-es.jpeg
